dish_name,count
other,39865
noodle soup,1959
dumpling,1263
apple,1033
hot pot,995
stir-fried noodles,817
fried chicken,712
watermelon,695
fried rice,612
pizza,609
beef noodle soup,582
lychee,566
mixed asian cuisine,529
grilled meat skewers,520
banana,498
steamed bun,461
seafood platter,433
stir-fried chicken with vegetables,405
strawberries,400
braised pork belly,399
beef stir-fry,389
braised pork,384
vegetable stir-fry,383
durian,367
stir-fried meat with vegetables,354
noodle bowl,353
steamed fish,351
grape,348
stir-fried greens,342
grilled skewers,340
orange,327
mixed chinese dishes,327
boiled egg,325
instant noodles,325
chicken stir-fry,323
sushi,312
mixed asian dishes,311
fried chicken wing,310
spicy crawfish,309
birthday cake,302
grilled meat platter,300
egg tart,295
braised meat,288
custard tart,284
shrimp stir-fry,283
cooked white rice,277
vegetable soup,274
spicy noodle soup,273
fruit salad,273
spicy noodles,270
crawfish,265
ramen,259
corn on the cob,258
mapo tofu,256
vegetable noodles,254
roasted chicken,251
cherries,246
meat soup,245
stir-fried meat and vegetables,244
fried dumpling,242
stir-fried vegetables,242
steamed dumpling,240
sweet and sour chicken,234
watermelon slice,234
cheeseburger,231
peach,228
mixed asian meal,228
grilled steak with vegetables,225
mango,224
meat stew,220
stir-fried vegetables with meat,218
sushi platter,209
grilled steak,194
fried fish,193
crawfish boil,193
grilled meat,188
hamburger,184
noodle salad,182
grilled fish,180
egg,174
vegetable salad,174
stir-fried beef with vegetables,172
chicken soup,170
steamed crab,170
peaches,166
roasted chicken with vegetables,166
roasted duck,165
beef stew,165
fruit cake,163
dumpling soup,159
pear,157
flatbread,156
fried chicken and fries,155
shrimp and vegetable stir-fry,155
shrimp salad,154
cucumber,153
cake,150
fried snack,149
pepperoni pizza,146
noodle stir-fry,144
seafood stir-fry,143
seafood noodle soup,142
fried chicken sandwich,140
shrimp,139
french fries,139
spring roll,137
whole milk,137
sandwich,133
potato chip,130
spicy chicken feet,128
mixed rice bowl,126
noodle soup with meat,126
noodles,124
shrimp fried rice,123
snack,123
bread roll,121
mixed meat platter,120
vegetable fried rice,120
dragon fruit,120
mixed skewers,120
meat and vegetable soup,118
seafood soup,118
fish soup,117
plum,116
chocolate cake,116
meat and vegetable stew,116
mixed fruit,116
meatball soup,115
iced coffee,115
chicken rice,114
braised chicken feet,113
cheese pizza,112
breakfast plate,111
oyster,111
glazed chicken wings,110
white bread,110
spicy chicken stir-fry,108
fried shrimp,108
sashimi,108
fish stew,107
blueberries,107
stir-fried vegetables with rice,106
stir-fried cabbage,105
stir-fried chicken,104
sweet and sour pork,103
milk,103
tomato and egg stir-fry,103
mixed salad,103
chicken salad,102
spicy fish stew,102
noodle soup with egg,101
packaged snack,101
spicy hot pot,101
fried chicken with rice,101
grilled shrimp,101
fresh tomatoes,100
braised chicken,100
spicy chicken,99
braised pork trotters,99
mixed platter,98
biryani,98
scrambled eggs with tomatoes,96
fried egg,96
breakfast platter,95
green apple,95
fresh peaches,95
spaghetti and meatballs,95
strawberry,95
peanuts,94
mixed grill platter,94
stir-fried green beans,93
baked oyster,92
stir-fried pork with vegetables,91
steamed fish with vegetables,91
chicken stew,90
sushi roll,90
spicy fish,89
sashimi platter,89
spaghetti bolognese,87
noodle stir fry,85
braised short ribs,84
steamed chicken,84
grilled chicken,84
bread,84
mixed asian dish,83
spicy beef stir-fry,83
layered cake,82
grilled beef,82
braised pork ribs,81
grilled chicken wing,80
spicy shrimp,80
stuffed flatbread,80
chicken noodle soup,79
garlic shrimp,79
stir-fried eggplant,79
sautéed greens,78
beef and egg stir-fry,78
mixed seafood and meat platter,77
beef soup,76
tomato,75
shrimp noodle soup,75
bibimbap,75
green grapes,75
spicy tofu,75
dumplings in broth,75
chicken wing,74
spicy meat stew,74
cucumber salad,74
strawberry cake,73
mangosteen,73
fast food meal,72
ice cream cone,71
fried chicken meal,71
spicy stir-fried meat,71
cookie,70
zongzi,70
roast duck,70
braised pork belly with rice,70
stir-fried noodles with vegetables,69
boiled peanuts,69
chicken rice bowl,69
stir-fried meat with rice,68
fried tofu,68
pho,67
noodle dish,67
rice porridge,66
spicy shrimp stir-fry,66
sliced beef,66
fried dough,66
grilled chicken salad,66
seafood salad,66
