ingredient,count
vegetable,15081
spice,12231
sauce,12225
green onion,12021
noodles,11618
chicken,10568
other,10432
egg,9779
meat,9508
rice,9304
sugar,8033
beef,7472
soy sauce,6929
broth,6665
shrimp,5689
garlic,5639
oil,5491
flour,5301
onion,5172
carrot,4712
pork,4561
bell pepper,4538
seasoning,4307
lettuce,3982
fish,3359
cheese,3247
water,3176
potatoes,2863
cucumber,2854
cilantro,2849
sesame seeds,2725
butter,2648
cream,2543
tofu,2400
tomato,2311
green pepper,2252
tomatoes,2243
corn,2168
salt,2164
bread,2113
cabbage,2074
milk,2061
mushroom,1874
chili,1856
broccoli,1832
herbs,1770
fried chicken,1721
green bean,1701
ginger,1490
peanut,1478
apple,1452
seaweed,1414
strawberries,1357
watermelon,1345
tomato sauce,1328
ground meat,1317
yeast,1288
spicy sauce,1267
chili pepper,1252
dumpling,1209
sausage,1086
crawfish,1085
spinach,1056
red pepper,1046
lemon,1034
crab,1021
pasta,1013
bok choy,1006
pizza dough,958
fries,937
salmon,892
mango,870
chicken wing,806
blueberries,804
red chili,803
mixed vegetables,778
grape,762
dough,757
bean sprouts,754
steak,734
chocolate,723
orange,688
pork belly,686
dumpling wrapper,683
lime,679
lychee,675
ham,668
banana,662
flavoring,649
olive oil,645
meatball,635
nut,633
pastry,617
bun,606
beef patty,595
cake,573
pineapple,572
zucchini,570
seafood,565
green vegetable,562
clam,562
soup,559
fruit,558
greens,556
cherry tomatoes,551
green bell pepper,548
avocado,541
meat filling,522
mayonnaise,517
coffee,511
peas,506
ketchup,491
eggplant,477
peach,475
oyster,454
ice cream,446
parsley,439
breading,437
yogurt,437
potato,430
dipping sauce,428
squid,428
basil,423
beans,421
pepper,407
chicken feet,406
duck,405
salad,398
leafy greens,395
cauliflower,394
durian,394
lobster,393
pork ribs,390
cherries,380
spaghetti,377
pepperoni,375
syrup,375
grilled meat,369
tuna,366
batter,361
asparagus,358
dressing,356
white rice,354
bacon,354
mint,348
celery,346
burger bun,324
lotus root,324
gelatin,321
kimchi,317
wasabi,315
sushi rice,308
instant noodles,307
whipped cream,304
fried dough,302
red bell pepper,300
salad greens,299
scallion,299
rice noodles,299
pumpkin,294
sweet sauce,294
coconut milk,292
kiwi,287
rosemary,285
melon,277
dried chili,272
sweet potato,271
flatbread,270
pickle,267
raspberries,267
pancake,266
coriander,262
almond,255
rice flour,251
frosting,249
dragon fruit,248
cheddar cheese,245
black fungus,242
cake base,239
filling,229
honey,226
curry sauce,219
grilled chicken,218
pickled vegetable,216
bread crumbs,213
chives,207
strawberry,207
cream cheese,206
vinegar,195
coconut,195
dried fruit,194
radish,193
sesame bun,189
olive,189
vegetable oil,186
sweet and sour sauce,185
dessert,182
red bean,181
edamame,178
pear,174
scallop,174
tapioca pearls,173
plum,171
snap peas,170
french fries,169
octopus,168
ice,166
goji berries,165
sour cream,165
arugula,164
tea,163
tortilla,163
fried onion,160
sesame oil,158
mozzarella cheese,158
vanilla,153
boiled egg,153
burger patty,152
cocoa powder,150
cookie,150
wrap,150
fried rice,149
fried fish,148
grain,147
peaches,146
bagel,145
okra,145
jelly,142
dill,142
roasted chicken,140
wheat flour,140
preservatives,138
soda,138
beef steak,138
snails,137
barbecue sauce,137
mixed greens,137
food coloring,136
soup base,135
cashews,135
dumpling dough,133
mussels,133
decorations,133
rice paper,129
green apple,128
black beans,127
various meats,127
fried egg,127
wafer,125
berries,123
chickpeas,122
nori,121
fried tofu,121
baking powder,116
garnish,116
green chili,116
date,115
fruit juice,115
chili sauce,114
spring roll,113
sushi,112
sliced meat,112
fried item,112
fat,112
glaze,110
oat,110
wafer cone,109
cracker,109
rice cake,108
lentils,107
hot dog,107
pork trotters,106
breadcrumbs,106
croissant,106
shellfish,106
chocolate chips,105
steamed bun,105
processed meat,105
pistachio,103
dried red chilies,103
soup broth,102
raisin,102
mustard,102
parmesan cheese,101
bitter melon,99
dried chili pepper,99
spring roll wrapper,98
coloring,98
fish roe,96
sprinkles,96
various vegetables,95
ground beef,94
skewered meat,94
egg yolk,93
daikon,92
blackberries,91
black pepper,91
fried meat,91
bamboo shoots,90
walnut,90
lamb,89
glutinous rice flour,88
sunflower seeds,87
green tea,86
mangosteen,86
chestnut,84
burger,82
milk powder,82
whole grain bread,81
green chilies,81
sesame,81
pastry dough,81
green peas,80
cake layers,80
quinoa,80
cheese sauce,80
short ribs,79
mashed potatoes,79
pomegranate,79
apricot,79
sweet glaze,79
toast,79
snack,78
black rice,78
chili oil,77
red chili peppers,77
grilled fish,75
pizza crust,75
peanut sauce,75
fruit topping,74
waffle cone,74
sweetener,73
topping,72
soft serve ice cream,71
matcha,71
fried snack,70
glutinous rice,68
onion rings,68
pork hock,67
cream filling,66
fruit puree,66
spicy broth,66
dried chilies,66
papaya,65
red bean paste,65
sweet potatoes,65
squash,65
dried red peppers,65
chocolate sauce,64
plantain,64
enoki mushrooms,64
bamboo leaves,64
pizza,63
dried meat,63
green grapes,63
meat (optional),62
fruit filling,62
drink,62
fruit flavoring,61
salsa,61
fig,61
quail egg,61
chocolate cake,61
feta cheese,61
protein,61
sticky rice,60
cocoa,59
soft drink,59
puff pastry,59
soybean,59
granola,58
cornmeal,58
sambal,58
croutons,58
fish balls,57
meat skewer,57
starch,57
whole chicken,57
meat sauce,57
custard,57
fried shallots,56
cream sauce,56
filling (meat/vegetables),56
waffle,56
fried potatoes,56
chocolate syrup,55
coconut water,55
jam,55
grapefruit,54
dumpling skin,54
napa cabbage,54
grilled eel,54
carbonated water,53
lemongrass,53
fish cake,53
pumpkin seeds,53
seeds,53
thyme,52
orange juice,52
mixed fruit,51
whole grain flour,51
sea urchin,51
kale,51
vegetable filling,50
jackfruit,50
caramel,50
minced meat,50
