,count,mean,std,min,25%,50%,75%,max
fat_g,99987.0,17.588509106183803,15.014308584654941,0.0,10.0,15.0,25.0,250.0
protein_g,99987.0,21.39134367467771,18.101446882580053,0.0,5.0,20.0,30.0,250.0
carbohydrate_g,99987.0,40.543327132527224,29.09160745486628,0.0,20.0,35.0,60.0,650.0
calories_kcal,99987.0,411.35408603118407,256.4522374720021,0.0,250.0,350.0,600.0,3500.0
camera_or_phone_prob,99987.0,0.7483927910628381,0.05075162871408546,0.6,0.7,0.7,0.8,0.9
food_prob,99987.0,0.937808815145969,0.04709162133559753,0.8,0.9,0.9,1.0,1.0
meal_weight_entropy,99987.0,0.5616905270435788,0.40684660998109834,-0.0,-0.0,0.772506835905573,0.9182958608371391,1.0000000186840277
meal_total_weight,99987.0,354.5138868052847,177.82757402926472,0.0,250.0,350.0,450.0,5000.0
meal_weight_max_ratio,99987.0,0.7280648589080267,0.23562243969412158,0.0,0.5555555820465088,0.7272727489471436,1.0,1.0
num_weight_ingredients,99987.0,2.1549401422184884,1.0696526796709434,0.0,1.0,2.0,3.0,9.0
meal_weight_std_ratio,99987.0,0.13274164703064267,0.12569153507974326,0.0,0.0,0.10000000894069672,0.2142857164144516,0.4933774769306183
num_ingredients,99987.0,3.5377999139888185,1.4269421555195994,0.0,3.0,4.0,5.0,11.0
