ingredient,count
meatball,33
sauce,12346
bread,2509
cheese,1373
egg,4063
sausage,643
other,8850
ground_beef,36
vegetables,25280
chicken_wings,867
meat,12666
apple,1173
dairy_drink,35
noodles,11744
beef,5339
ice_cream,587
chocolate_sauce,30
blueberries,496
almonds,104
chicken,8882
shrimp,4893
tofu,1941
eggs,2365
mango,656
green_peppers,814
red_peppers,119
broth,2908
vegetable_fritters,25
oranges,118
crab,765
ground_meat,396
snack_mix,50
dumplings,2648
fried_chicken,1129
salad,1174
soup,1483
tea,32
fruit,586
sugar,534
snails,128
dipping_sauce,201
pork,2585
rice,9256
fish,3281
salmon,696
dessert,460
steak,895
corn,1260
broccoli,1045
pasta,1188
tomato_sauce,59
snack_bar,40
protein,585
pork_belly,649
peanuts,786
bun,909
crawfish,1074
green_onions,1560
tomato,1060
lemon,507
tomatoes,1411
basil,37
green_beans,712
milk,222
dumpling,244
pumpkin,184
filling,547
flour,207
pizza,1333
onions,667
cucumber,862
chili,171
chicken_drumsticks,34
ham,289
lettuce,1981
peach,438
cilantro,216
greens,1005
dough,356
lentils,83
potatoes,1628
granola,46
whipped_cream,137
cream_cheese,32
pastry,977
bell_pepper,315
lobster,361
onion,349
flatbread,433
sushi,458
cherries,327
butter,236
spices,856
green_vegetables,155
garlic,635
orange,483
oil,1343
jackfruit,48
fries,1170
carrots,887
waffle,48
duck,425
seafood,1003
watermelon,1235
bean_sprouts,117
beef_patty,363
fried_onions,37
cheddar_cheese,102
bagel,167
pickles,164
crust,53
cream,667
fufu,37
snack,839
burger,503
meatballs,602
lychee,612
samosa,26
dressing,316
berries,136
asparagus,292
mushrooms,752
sweet_potato,244
plantains,56
durian,386
passion_fruit,27
lime,206
cherry_tomatoes,169
cake,1840
plum,53
stir-fried_vegetables,81
rice_porridge,30
fried_dough,133
buns,458
bell_peppers,422
fried_snacks,97
short_ribs,79
jelly,166
peppers,135
lotus_root,164
goji_berries,64
cabbage,683
strawberries,1014
porridge,74
rice_rolls,75
seaweed,381
seasoning,329
beans,462
edamame,135
papaya,62
tuna,216
french_fries,88
ketchup,220
cone,173
yogurt,347
fruits,360
dough_balls,53
grilled_meat,89
chocolate,137
zucchini,206
olive_oil,104
oysters,434
pear,155
sunflower_seeds,64
macaron,26
croissant,157
chicken_patty,31
peaches,124
mixed_vegetables,325
grapes,684
grapefruit,48
rice_cake,58
topping,77
mussels,90
skewered_meat,52
sushi_rice,89
spring_rolls,212
peas,196
batter,226
avocado,400
nuts,476
eel,81
banana,433
melon,227
fried_tofu,49
bacon,258
sausages,342
toppings,466
pork_hock,45
side_dish,117
coconut_milk,122
bamboo_shoots,33
clams,425
pancake,148
syrup,272
salad_greens,45
roll,83
pears,43
octopus,101
bar,26
curry,120
kimchi,146
potato_chips,166
herbs,543
cupcake,52
snacks,127
longan,34
beets,37
sour_cream,103
cucumbers,521
green_onion,121
cookie,101
oats,43
bananas,311
coffee,74
chicken_feet,395
breading,142
bok_choy,216
red_pepper,94
custard,230
wasabi,143
ginger,160
hot_dog,95
cauliflower,182
spinach,276
other_vegetables,60
oyster,39
vegetable,27
omelette,39
fried_rice,196
pancakes,292
snap_peas,61
garnish,195
tapioca_pearls,110
apples,210
sides,172
cookies,230
fried_items,248
skewers,249
croutons,50
mashed_potatoes,88
kiwi,206
vegetable_dish,34
roti,27
flan,31
fruit_mix,42
parsley,63
scallops,107
sauces,186
red_chili,75
mochi,40
pineapple,327
crabs,140
insects,38
main_ingredient,37
pomegranate,55
dried_fruits,72
chicken_drumstick,38
main_dish,56
bitter_melon,78
pork_trotters,106
oatmeal,45
egg_tart,134
olives,55
celery,116
sesame_seeds,134
drink,33
wrap,200
chicken_leg,84
biscuits,41
lamb,60
chickpeas,80
candy,152
ice_cream_bar,56
pork_ribs,137
dates,73
patties,34
red_beans,95
glutinous_rice_balls,31
fried_toppings,25
raspberries,148
grains,147
omelet,107
legumes,33
chips,114
pastries,41
